rank_by_return,strategy_name,rsi_period,rsi_buy,rsi_sell,rsi_buy_period,rsi_sell_period,rsi_oversold,rsi_recovery_delta,bias_period,bias_buy,bias_sell,bias_fast_period,bias_fast_buy,bias_slow_period,bias_slow_sell,bias_cross_threshold,bb_period,bb_std,bb_width_threshold,trailing_stop_pct,consecutive_days,total_return_pct,annualized_return_pct,max_drawdown_pct,win_rate_pct,wins,losses,total_trades,profit_factor,sharpe,buy_hold_return_pct,backtest_start,backtest_end,trading_days
1,AsymRSI buy=RSI(5)<30 sell=RSI(28)>80,,30,80,5,28,,,,,,,,,,,,,,,,1077.37,50.1,-53.52,100.0,6,0,12,999,1.2233,1083.5,2020-01-02,2026-04-28,1530
2,AsymRSI buy=RSI(5)<35 sell=RSI(28)>80,,35,80,5,28,,,,,,,,,,,,,,,,1071.21,49.97,-53.47,100.0,6,0,12,999,1.2113,1083.5,2020-01-02,2026-04-28,1530
3,AsymRSI buy=RSI(5)<35 sell=RSI(28)>75,,35,75,5,28,,,,,,,,,,,,,,,,1053.57,49.6,-48.94,78.95,15,4,38,7.24,1.2407,1083.5,2020-01-02,2026-04-28,1530
4,AsymRSI buy=RSI(7)<25 sell=RSI(28)>80,,25,80,7,28,,,,,,,,,,,,,,,,1044.82,49.41,-53.61,100.0,6,0,12,999,1.2322,1083.5,2020-01-02,2026-04-28,1530
5,AsymRSI buy=RSI(5)<25 sell=RSI(28)>80,,25,80,5,28,,,,,,,,,,,,,,,,1044.44,49.4,-53.52,100.0,6,0,12,999,1.2142,1083.5,2020-01-02,2026-04-28,1530
6,AsymRSI buy=RSI(5)<35 sell=RSI(21)>80,,35,80,5,21,,,,,,,,,,,,,,,,967.18,47.69,-53.28,93.33,14,1,30,14.03,1.1925,1083.5,2020-01-02,2026-04-28,1530
7,AsymRSI buy=RSI(7)<30 sell=RSI(28)>80,,30,80,7,28,,,,,,,,,,,,,,,,960.24,47.53,-53.46,100.0,6,0,12,999,1.1807,1083.5,2020-01-02,2026-04-28,1530
8,AsymRSI buy=RSI(5)<30 sell=RSI(21)>80,,30,80,5,21,,,,,,,,,,,,,,,,940.76,47.08,-53.28,93.33,14,1,30,13.37,1.1934,1083.5,2020-01-02,2026-04-28,1530
9,AsymRSI buy=RSI(7)<35 sell=RSI(28)>80,,35,80,7,28,,,,,,,,,,,,,,,,918.67,46.56,-53.46,100.0,6,0,12,999,1.1636,1083.5,2020-01-02,2026-04-28,1530
10,AsymRSI buy=RSI(5)<30 sell=RSI(28)>75,,30,75,5,28,,,,,,,,,,,,,,,,894.44,45.98,-48.94,76.47,13,4,34,6.25,1.1813,1083.5,2020-01-02,2026-04-28,1530
11,AsymRSI buy=RSI(10)<35 sell=RSI(28)>80,,35,80,10,28,,,,,,,,,,,,,,,,887.6,45.82,-53.61,100.0,6,0,12,999,1.1762,1083.5,2020-01-02,2026-04-28,1530
12,AsymRSI buy=RSI(7)<25 sell=RSI(21)>80,,25,80,7,21,,,,,,,,,,,,,,,,808.96,43.84,-48.95,92.86,13,1,28,16.08,1.1697,1083.5,2020-01-02,2026-04-28,1530
13,AsymRSI buy=RSI(5)<25 sell=RSI(21)>80,,25,80,5,21,,,,,,,,,,,,,,,,786.29,43.24,-52.96,93.33,14,1,30,11.67,1.1346,1083.5,2020-01-02,2026-04-28,1530
14,AsymRSI buy=RSI(5)<25 sell=RSI(28)>75,,25,75,5,28,,,,,,,,,,,,,,,,785.69,43.23,-48.94,76.47,13,4,34,6.19,1.1375,1083.5,2020-01-02,2026-04-28,1530
