rank_by_return,strategy_name,mode,rsi_period,rsi_buy,rsi_sell,bias_period,bias_buy,bias_sell,bb_period,bb_std,macd_fast,macd_slow,kd_period,kd_buy,kd_sell,ma_short,ma_long,stop_loss,take_profit,total_return_pct,annualized_return_pct,max_drawdown_pct,win_rate_pct,wins,losses,total_trades,profit_factor,sharpe,buy_hold_return_pct,backtest_start,backtest_end,trading_days
1,"RSI(14,25,60)+BIAS(5,-10,10)+BB(20,1.5) [all]",all,14,25,60,5,-10,10,20,1.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
2,"RSI(14,25,60)+BIAS(5,-10,10)+BB(20,2.0) [all]",all,14,25,60,5,-10,10,20,2.0,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
3,"RSI(14,25,60)+BIAS(5,-10,10)+BB(20,2.5) [all]",all,14,25,60,5,-10,10,20,2.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
4,"RSI(14,25,65)+BIAS(5,-10,10)+BB(20,1.5) [all]",all,14,25,65,5,-10,10,20,1.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
5,"RSI(14,25,65)+BIAS(5,-10,10)+BB(20,2.0) [all]",all,14,25,65,5,-10,10,20,2.0,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
6,"RSI(14,25,65)+BIAS(5,-10,10)+BB(20,2.5) [all]",all,14,25,65,5,-10,10,20,2.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
7,"RSI(14,25,70)+BIAS(5,-10,10)+BB(20,1.5) [all]",all,14,25,70,5,-10,10,20,1.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
8,"RSI(14,25,70)+BIAS(5,-10,10)+BB(20,2.0) [all]",all,14,25,70,5,-10,10,20,2.0,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
9,"RSI(14,25,70)+BIAS(5,-10,10)+BB(20,2.5) [all]",all,14,25,70,5,-10,10,20,2.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
10,"RSI(14,25,75)+BIAS(5,-10,10)+BB(20,1.5) [all]",all,14,25,75,5,-10,10,20,1.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
11,"RSI(14,25,75)+BIAS(5,-10,10)+BB(20,2.0) [all]",all,14,25,75,5,-10,10,20,2.0,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
12,"RSI(14,25,75)+BIAS(5,-10,10)+BB(20,2.5) [all]",all,14,25,75,5,-10,10,20,2.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
13,"RSI(14,25,80)+BIAS(5,-10,10)+BB(20,1.5) [all]",all,14,25,80,5,-10,10,20,1.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
14,"RSI(14,25,80)+BIAS(5,-10,10)+BB(20,2.0) [all]",all,14,25,80,5,-10,10,20,2.0,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
15,"RSI(14,25,80)+BIAS(5,-10,10)+BB(20,2.5) [all]",all,14,25,80,5,-10,10,20,2.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
16,"RSI(14,30,60)+BIAS(5,-10,10)+BB(20,1.5) [all]",all,14,30,60,5,-10,10,20,1.5,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
17,"RSI(14,30,60)+BIAS(5,-10,10)+BB(20,2.0) [all]",all,14,30,60,5,-10,10,20,2.0,,,,,,,,,,1529.82,58.36,-55.02,100.0,1,0,2,999,1.3132,1083.5,2020-01-02,2026-04-28,1530
